,_id,datetime,event,vessel_name
88,5cb10a8bcf504e43d08ffb1d,20/03/2019 03:51,Arrival,GP02
89,5cb10a8bcf504e43d08ffb1e,20/03/2019 03:41,Arrival,TRANSLUB
90,5cb10a8bcf504e43d08ffb1f,20/03/2019 03:25,Departure,AYER CHOMEL
91,5cb10a8bcf504e43d08ffb20,20/03/2019 03:23,Departure,YORK 95
92,5cb10a8bcf504e43d08ffb21,20/03/2019 03:37,Departure,NOBLE KNIGHT
93,5cb10a8bcf504e43d08ffb22,20/03/2019 03:29,Departure,PILOT GP47
94,5cb10a8bcf504e43d08ffb23,20/03/2019 03:24,Arrival,ENG HUP OFFSHORE
95,5cb10a8bcf504e43d08ffb24,20/03/2019 02:57,Arrival,WAVEMASTER 6
96,5cb10a8bcf504e43d08ffb25,20/03/2019 02:32,Arrival,CKL VI
97,5cb10a8bcf504e43d08ffb26,20/03/2019 02:15,Arrival,PW TANGKAS
98,5cb10a8bcf504e43d08ffb27,20/03/2019 02:30,Departure,QUEEN STAR 5
99,5cb10a8bcf504e43d08ffb28,20/03/2019 02:10,Arrival,SC4789B MAJULAH 1
100,5cb10a8bcf504e43d08ffb29,20/03/2019 01:53,Departure,GP61
101,5cb10a8bcf504e43d08ffb2a,20/03/2019 01:34,Arrival,MAJESTIC 9
102,5cb10a8bcf504e43d08ffb2b,20/03/2019 01:19,Arrival,GP61
103,5cb10a8bcf504e43d08ffb2c,20/03/2019 01:25,Arrival,HORIZON 6
104,5cb10a8bcf504e43d08ffb2d,20/03/2019 01:04,Departure,CAST ELEGANCE
105,5cb10a8bcf504e43d08ffb2e,20/03/2019 00:57,Departure,SC4789B MAJULAH 1
106,5cb10a8bcf504e43d08ffb2f,20/03/2019 01:05,Arrival,RELIANT
107,5cb10a8bcf504e43d08ffb30,20/03/2019 01:01,Arrival,STAR VOYAGER
108,5cb10a8bcf504e43d08ffb31,20/03/2019 00:30,Arrival,CKL IX
