_id	datetime	datetime_from	datetime_to	destination_port_name	event	source_id	source_name	time_in_port	vessel_callsign	vessel_flag	vessel_imo	vessel_length	vessel_mmsi	vessel_name	vessel_type
5cac9963c81d023d28365358	20/03/2019 14:42				Arrival	1	vesseltracker				8844191	33	564215000	MARINA SWIFT	tug
5cac9963c81d023d28365359	20/03/2019 14:42				Departure	1	vesseltracker					33	563022290	EH VICTORIOUS	tug
5cac9963c81d023d2836535a	20/03/2019 14:41			Singapore	Departure	1	vesseltracker				999999999	7	563006110	E.T.HARBOUR 24	
5cac9963c81d023d2836535b	20/03/2019 14:40				Arrival	1	vesseltracker					14	563021460	PIL0T GP57	other
5cac9963c81d023d2836535c	20/03/2019 14:40			Singapore	Arrival	1	vesseltracker				9732125	39	565518000	HORIZON 8	passenger_ship
5cac9963c81d023d2836535d	20/03/2019 14:40				Departure	1	vesseltracker					0	563067850	PRESIDENT TWO	
5cac9963c81d023d2836535e	20/03/2019 14:39				Arrival	1	vesseltracker					12	563064340	AQUARIUS EXPRESS 7	
5cac9963c81d023d2836535f	20/03/2019 14:38			Singapore	Arrival	1	vesseltracker				9797101	35	564425000	QUEEN STAR 5	passenger_ship
5cac9963c81d023d28365360	20/03/2019 14:37				Departure	1	vesseltracker					18	563030080	NAUTICAL WEST	
5cac9963c81d023d28365361	20/03/2019 14:36				Arrival	1	vesseltracker					0	563036660	GP-05	
5cac9963c81d023d28365362	20/03/2019 14:35				Departure	1	vesseltracker					26	563029330	SC 4653E	
5cac9963c81d023d28365363	20/03/2019 14:34				Arrival	1	vesseltracker					10	563040552	YORK BEST	
5cac9963c81d023d28365364	20/03/2019 14:34				Arrival	1	vesseltracker					19	457142000	JOLLY ROSE	
5cac9963c81d023d28365365	20/03/2019 14:33				Departure	1	vesseltracker					24	563068070	OPL 66	
5cac9963c81d023d28365366	20/03/2019 14:33				Departure	1	vesseltracker					15	341268000	CAST MASTER	passenger_ship
5cac9963c81d023d28365367	20/03/2019 14:33				Arrival	1	vesseltracker				9701944	90	564735000	PEARL JUBILEE	service_ship
5cac9963c81d023d28365368	20/03/2019 14:30				Arrival	1	vesseltracker					0	563040039	KENKI 21	
5cac9963c81d023d28365369	20/03/2019 14:30				Arrival	1	vesseltracker					0	563066740	KSE SPEEDER	
5cac9963c81d023d2836536a	20/03/2019 14:30				Arrival	1	vesseltracker					30	563024530	E.T. OCEAN 23	tug
5cac9963c81d023d2836536b	20/03/2019 14:30			Port Klang	Arrival	1	vesseltracker				9637258	366	538005628	HYUNDAI VICTORY	container_ship
5cac9963c81d023d2836536c	20/03/2019 14:29				Arrival	1	vesseltracker					10	563041513	SUN 68	
5cac9963c81d023d2836536d	20/03/2019 14:28				Arrival	1	vesseltracker					22	563000650	ORION 801	tug
5cac9963c81d023d2836536e	20/03/2019 14:28				Departure	1	vesseltracker					12	563019310	MPAII	service_ship>pilot_vessel
5cac9963c81d023d2836536f	20/03/2019 14:28				Arrival	1	vesseltracker					10	563041419	JOLLY RINO	
5cac9963c81d023d28365370	20/03/2019 14:28				Departure	1	vesseltracker					10	563040290	CKL XI	
5cac9963c81d023d28365371	20/03/2019 14:28				Departure	1	vesseltracker					22	563065510	MASTER B	
5cac9963c81d023d28365372	20/03/2019 14:27				Departure	1	vesseltracker					30	457113000	NAUTICAL NORTH	
5cac9963c81d023d28365373	20/03/2019 14:26				Arrival	1	vesseltracker					33	563022290	EH VICTORIOUS	tug
5cac9963c81d023d28365374	20/03/2019 14:25				Arrival	1	vesseltracker				9352585	146	574003200	PETROLIMEX 20	oil_and_chemical_tanker>chemical_oil_products_tanker
5cac9963c81d023d28365375	20/03/2019 14:25				Arrival	1	vesseltracker					10	563040757	SC4310B	
5cac9963c81d023d28365376	20/03/2019 14:24				Arrival	1	vesseltracker					10	563044530	ENG HUP OFFSHORE	
5cac9963c81d023d28365377	20/03/2019 14:24				Arrival	1	vesseltracker					10	563040553	PUTRI TIGA	
5cac9963c81d023d28365378	20/03/2019 14:23				Arrival	1	vesseltracker				9316725	25	563006410	NOBLE KNIGHT	tug
5cac9963c81d023d28365379	20/03/2019 14:23				Departure	1	vesseltracker					10	563040579	YORK 202	
5cac9963c81d023d2836537a	20/03/2019 14:23			Singapore	Departure	1	vesseltracker				9763215	68	563032950	STL H1	service_ship
5cac9963c81d023d2836537b	20/03/2019 14:22				Departure	1	vesseltracker					22	457207000	JOLLY ROGER I I	
5cac9963c81d023d2836537c	20/03/2019 14:21				Arrival	1	vesseltracker					33	563062310	SUNLIGHT ARTEMIS	
5cac9963c81d023d2836537d	20/03/2019 14:20				Arrival	1	vesseltracker					13	565602000	GP-49	passenger_ship
5cac9963c81d023d2836537e	20/03/2019 14:19				Arrival	1	vesseltracker					10	563040511	COASTLINK 3	
5cac9963c81d023d2836537f	20/03/2019 14:17				Arrival	1	vesseltracker					10	563043580	ASME 7	
5cac9963c81d023d28365380	20/03/2019 14:17				Arrival	1	vesseltracker					15	542425110	CRYSTAL AURORA	
5cac9963c81d023d28365381	20/03/2019 14:17				Departure	1	vesseltracker					9	563036630	GP02	
5cac9963c81d023d28365382	20/03/2019 14:17				Departure	1	vesseltracker					0	563068870	INQATH43	
5cac9963c81d023d28365383	20/03/2019 14:16				Departure	1	vesseltracker					20	631888777	RESTU JAYA	
5cac9963c81d023d28365384	20/03/2019 14:15				Arrival	1	vesseltracker				9174244	100	353996000	PACIFIC 68	general_cargo_ship
5cac9963c81d023d28365385	20/03/2019 14:15				Departure	1	vesseltracker					18	563023690	DM 66	passenger_ship
5cac9963c81d023d28365386	20/03/2019 14:15			Singapore	Departure	1	vesseltracker				8844191	33	564215000	MARINA SWIFT	tug
5cac9963c81d023d28365387	20/03/2019 14:14			Singapore	Departure	1	vesseltracker					0	563036660	GP-05	
5cac9963c81d023d28365388	20/03/2019 14:13			Vung Tau	Arrival	1	vesseltracker				9355769	260	477056600	OOCL PANAMA	container_ship
5cac9963c81d023d28365389	20/03/2019 14:13				Departure	1	vesseltracker					23	631009080	LETICIA	
5cac9963c81d023d2836538a	20/03/2019 14:13				Arrival	1	vesseltracker					10	563041160	SC0490E	
5cac9963c81d023d2836538b	20/03/2019 14:10				Arrival	1	vesseltracker					30	525012043	KARTIKA SARI HWJ	general_cargo_ship
5cac9963c81d023d2836538c	20/03/2019 14:10				Arrival	1	vesseltracker					10	563040614	COASTLINK 5	
5cac9963c81d023d2836538d	20/03/2019 14:09				Arrival	1	vesseltracker					10	563040382	SC 1494C	
5cac9963c81d023d2836538e	20/03/2019 14:09				Arrival	1	vesseltracker					10	563040344	SC 4774D	
5cac9963c81d023d2836538f	20/03/2019 14:09				Arrival	1	vesseltracker					0	563009070	E.T. HARBOUR 25	
5cac9963c81d023d28365390	20/03/2019 14:09				Arrival	1	vesseltracker					0	563036660	GP-05	
5cac9963c81d023d28365391	20/03/2019 14:06				Departure	1	vesseltracker					0	563021140	SEASWIFT PROVIDENCE	
5cac9963c81d023d28365392	20/03/2019 14:05				Departure	1	vesseltracker					18	563023710	DM 99	passenger_ship
5cac9963c81d023d28365393	20/03/2019 14:04			Hai Phong	Departure	1	vesseltracker				9384887	172	235050811	KYOTO TOWER	container_ship
5cac9963c81d023d28365394	20/03/2019 14:04				Departure	1	vesseltracker					14	563034020	SC8338-D	
5cac9963c81d023d28365395	20/03/2019 14:04				Departure	1	vesseltracker				8898879	43	563001270	AYER MANIS	other_tanker>water_tanker
5cac9963c81d023d28365396	20/03/2019 14:03			Singapore	Departure	1	vesseltracker				9174244	100	353996000	PACIFIC 68	general_cargo_ship
5cac9963c81d023d28365397	20/03/2019 14:03				Arrival	1	vesseltracker				9808376	30	563010100	JMS ARJUNA	tug
5cac9963c81d023d28365398	20/03/2019 14:03				Departure	1	vesseltracker					20	457380000	MASTERTECH 1	passenger_ship
5cac9963c81d023d28365399	20/03/2019 14:02			Kuantan	Arrival	1	vesseltracker				9427275	128	538003326	SUMMER	oil_and_chemical_tanker>chemical_oil_products_tanker
5cac9963c81d023d2836539a	20/03/2019 14:02				Departure	1	vesseltracker				9814753	31	563005800	JMS DUTA	tug
5cac9963c81d023d2836539b	20/03/2019 14:02				Arrival	1	vesseltracker					10	563041224	SC8228J	
5cac9963c81d023d2836539c	20/03/2019 14:02				Arrival	1	vesseltracker					0	563037460	E.T.OCEAN 13	
5cac9963c81d023d2836539d	20/03/2019 14:02			Tanjung Pelepas	Departure	1	vesseltracker				9124366	202	355714000	MSC IMMA	container_ship
5cac9963c81d023d2836539e	20/03/2019 14:01				Arrival	1	vesseltracker					10	563041412	JOLLY RIDER	
5cac9963c81d023d2836539f	20/03/2019 14:00				Arrival	1	vesseltracker					12	563066790	KENKI 36	
5cac9963c81d023d283653a0	20/03/2019 14:00			Subic Bay	Departure	1	vesseltracker				9435038	210	477748500	CALICANTO BRIDGE	container_ship
5cac9963c81d023d283653a1	20/03/2019 14:00				Departure	1	vesseltracker				9754800	33	565332000	JMS RAJA	tug
5cac9963c81d023d283653a2	20/03/2019 14:00				Arrival	1	vesseltracker					28	563016950	SEA HAWK	passenger_ship
5cac9963c81d023d283653a3	20/03/2019 13:59				Arrival	1	vesseltracker				9814741	30	563005700	JMS WIRA	tug
5cac9963c81d023d283653a4	20/03/2019 13:59				Arrival	1	vesseltracker					10	563041657	MS LOTUS	
5cac9963c81d023d283653a5	20/03/2019 13:59				Departure	1	vesseltracker				3980611	28	565228000	PIONEER LIBERTY	tug
5cac9963c81d023d283653a6	20/03/2019 13:57				Departure	1	vesseltracker				9316725	25	563006410	NOBLE KNIGHT	tug
5cac9963c81d023d283653a7	20/03/2019 13:55			Singapore	Departure	1	vesseltracker				9797125	38	563034500	QUEEN STAR 8	passenger_ship
5cac9963c81d023d283653a8	20/03/2019 13:54				Arrival	1	vesseltracker					10	563047040	FEI MA	
5cac9963c81d023d283653a9	20/03/2019 13:54				Arrival	1	vesseltracker					24	563027160	UWCON FAST	
5cac9963c81d023d283653aa	20/03/2019 13:52				Arrival	1	vesseltracker					10	563051860	SUNLIGHT HERMES	
5cac9963c81d023d283653ab	20/03/2019 13:52			Colombo	Departure	1	vesseltracker				9250995	294	256058000	DIMITRA C	container_ship
5cac9963c81d023d283653ac	20/03/2019 13:52				Arrival	1	vesseltracker				9777278	68	563034130	STL H14	service_ship>hopper_barge
5cac9963c81d023d283653ad	20/03/2019 13:52				Departure	1	vesseltracker					15	563004855	CKL XIV	
5cac9963c81d023d283653ae	20/03/2019 13:51				Arrival	1	vesseltracker				9662667	60	566849000	ENCHANT	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d283653af	20/03/2019 13:51				Arrival	1	vesseltracker					10	563041223	SC3944Z	
5cac9963c81d023d283653b0	20/03/2019 13:50				Arrival	1	vesseltracker				9610987	191	566749000	GLOVIS MAESTRO	bulk_carrier
5cac9963c81d023d283653b1	20/03/2019 13:50				Arrival	1	vesseltracker					33	525021098	SUKSES PERKASA	
5cac9963c81d023d283653b2	20/03/2019 13:49				Arrival	1	vesseltracker				9678666	43	564167000	MARINE AMBER	oil_and_chemical_tanker
5cac9963c81d023d283653b3	20/03/2019 13:49				Departure	1	vesseltracker					28	563016950	SEA HAWK	passenger_ship
5cac9963c81d023d283653b4	20/03/2019 13:49				Arrival	1	vesseltracker					22	563065510	MASTER B	
5cac9963c81d023d283653b5	20/03/2019 13:49				Arrival	1	vesseltracker				9174244	100	353996000	PACIFIC 68	general_cargo_ship
5cac9963c81d023d283653b6	20/03/2019 13:48				Departure	1	vesseltracker				9626209	43	566200000	MAST	service_ship
5cac9963c81d023d283653b7	20/03/2019 13:48				Departure	1	vesseltracker					12	563066790	KENKI 36	
5cac9963c81d023d283653b8	20/03/2019 13:48				Arrival	1	vesseltracker					40	563065470	NAUTICAL ATLANTIC	
5cac9963c81d023d283653b9	20/03/2019 13:47				Departure	1	vesseltracker					0	563067290	SUN ACE	
5cac9963c81d023d283653ba	20/03/2019 13:46				Arrival	1	vesseltracker					10	563040581	YORK 32	
5cac9963c81d023d283653bb	20/03/2019 13:46			Batam	Departure	1	vesseltracker				9764609	39	564346000	HORIZON 6	passenger_ship
5cac9963c81d023d283653bc	20/03/2019 13:46				Departure	1	vesseltracker					0	563040084	I-RAY	
5cac9963c81d023d283653bd	20/03/2019 13:45				Arrival	1	vesseltracker					9	563036640	PILOT GP03	
5cac9963c81d023d283653be	20/03/2019 13:45				Departure	1	vesseltracker					19	457142000	JOLLY ROSE	
5cac9963c81d023d283653bf	20/03/2019 13:45				Departure	1	vesseltracker					24	563064110	OPL 33	
5cac9963c81d023d283653c0	20/03/2019 13:45				Arrival	1	vesseltracker				9357523	175	636092854	TORRES STRAIT	container_ship
5cac9963c81d023d283653c1	20/03/2019 13:45				Departure	1	vesseltracker					10	563040379	KANLIAN 30	
5cac9963c81d023d283653c2	20/03/2019 13:44				Departure	1	vesseltracker					33	563022290	EH VICTORIOUS	tug
5cac9963c81d023d283653c3	20/03/2019 13:42			Jebel Ali	Arrival	1	vesseltracker				9467316	366	477598400	CSCL NEPTUNE	container_ship
5cac9963c81d023d283653c4	20/03/2019 13:42				Departure	1	vesseltracker				9060651	33	563751000	OCEAN RAIDER	passenger_ship
5cac9963c81d023d283653c5	20/03/2019 13:42				Arrival	1	vesseltracker				9830484	32	563060100	PSA HULK	
5cac9963c81d023d283653c6	20/03/2019 13:41				Arrival	1	vesseltracker				8844191	33	564215000	MARINA SWIFT	tug
5cac9963c81d023d283653c7	20/03/2019 13:41				Arrival	1	vesseltracker				9438303	99	566241000	SUPERNOVA	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d283653c8	20/03/2019 13:39				Arrival	1	vesseltracker					0	563036620	GP 01	
5cac9963c81d023d283653c9	20/03/2019 13:38				Departure	1	vesseltracker					15	563021450	GP56	service_ship>pilot_vessel
5cac9963c81d023d283653ca	20/03/2019 13:38				Arrival	1	vesseltracker					10	563047020	FEI OU	
5cac9963c81d023d283653cb	20/03/2019 13:36				Arrival	1	vesseltracker				9635066	92	566392000	DEBONAIR	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d283653cc	20/03/2019 13:35				Arrival	1	vesseltracker					15	563019660	CKL X	
5cac9963c81d023d283653cd	20/03/2019 13:35				Departure	1	vesseltracker					34	563034220	KIM HOCK TUG 9	
5cac9963c81d023d283653ce	20/03/2019 13:35				Departure	1	vesseltracker					0	563068850	INQATH11	
5cac9963c81d023d283653cf	20/03/2019 13:35				Departure	1	vesseltracker					10	563040950	TSS 36	
5cac9963c81d023d283653d0	20/03/2019 13:33				Departure	1	vesseltracker					20	563027970	DM 55	
5cac9963c81d023d283653d1	20/03/2019 13:32				Arrival	1	vesseltracker					24	563014960	SEA DRAGON 9	general_cargo_ship
5cac9963c81d023d283653d2	20/03/2019 13:31				Departure	1	vesseltracker					26	525021451	BATAM INDAH 10	
5cac9963c81d023d283653d3	20/03/2019 13:30				Departure	1	vesseltracker					10	563043580	ASME 7	
5cac9963c81d023d283653d4	20/03/2019 13:29				Arrival	1	vesseltracker					28	563016950	SEA HAWK	passenger_ship
5cac9963c81d023d283653d5	20/03/2019 13:28			Singapore	Departure	1	vesseltracker					7	563029960	GP59	
5cac9963c81d023d283653d6	20/03/2019 13:28				Departure	1	vesseltracker				9847815	39	563054300	MAJESTIC FAITH	passenger_ship
5cac9963c81d023d283653d7	20/03/2019 13:28				Arrival	1	vesseltracker				9140839	32	563780000	SINDO 12	passenger_ship
5cac9963c81d023d283653d8	20/03/2019 13:28			Singapore	Departure	1	vesseltracker				9174244	100	353996000	PACIFIC 68	general_cargo_ship
