,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
2509,5cb2544acf504e43d09004ff,,,20/03/2019 08:20,,,,Departure,,,3.0,fleetmon,3h,VRQR6,,Flag of Hong Kong SAR of China,,9641003.0,172x30m,477021100.0,KOTA JOHAN,Container ship
2510,5cb2544acf504e43d0900500,,,20/03/2019 05:14,,,,Arrival,,,3.0,fleetmon,1d 18h,,,Flag of Singapore,,,10x10m,563040221.0,SC 4332C,Pleasure Craft
2511,5cb2544acf504e43d0900501,,,20/03/2019 05:14,,,,Arrival,,,3.0,fleetmon,0h,A8MX4,,Flag of Liberia,,9348467.0,266x32m,636091385.0,NORTHERN GUILD,Container ship
2512,5cb2544acf504e43d0900502,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,12h,V7SU6,,Flag of Marshall Islands,,9731793.0,153x25m,538006895.0,NAVIG8 SCEPTRUM,Oil Products Tanker
2513,5cb2544acf504e43d0900503,,,20/03/2019 17:33,,,,Departure,,,3.0,fleetmon,12h,V7SU6,,Flag of Marshall Islands,,9731793.0,153x25m,538006895.0,NAVIG8 SCEPTRUM,Oil Products Tanker
2514,5cb2544acf504e43d0900504,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,0h,9V9153,,Flag of Singapore,,9593270.0,99x19m,566019000.0,SINCERITY,Tanker
2515,5cb2544acf504e43d0900505,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,1h,9V9842,,Flag of Singapore,,9650509.0,105x18m,566480000.0,MARINE LION,Tanker
2516,5cb2544acf504e43d0900506,,,20/03/2019 06:40,,,,Departure,,,3.0,fleetmon,1h,9V9842,,Flag of Singapore,,9650509.0,105x18m,566480000.0,MARINE LION,Tanker
2517,5cb2544acf504e43d0900507,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,2h,V7US5,,Flag of Marshall Islands,,9788904.0,336x60m,538007562.0,FRONT PRINCESS,Tanker
2518,5cb2544acf504e43d0900508,,,20/03/2019 07:49,,,,Departure,,,3.0,fleetmon,2h,V7US5,,Flag of Marshall Islands,,9788904.0,336x60m,538007562.0,FRONT PRINCESS,Tanker
2519,5cb2544acf504e43d0900509,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,6h,V7AA5,,Flag of Marshall Islands,,9242120.0,249x44m,538007934.0,AQUANAUT,Tanker
2520,5cb2544acf504e43d090050a,,,20/03/2019 11:55,,,,Departure,,,3.0,fleetmon,6h,V7AA5,,Flag of Marshall Islands,,9242120.0,249x44m,538007934.0,AQUANAUT,Tanker
2521,5cb2544acf504e43d090050b,,,20/03/2019 05:13,,,,Arrival,,,3.0,fleetmon,1d 4h,2HCI5,,Flag of United Kingdom,,9698329.0,199x32m,235102467.0,SADLERS WELLS,Bulk carrier
2522,5cb2544acf504e43d090050c,,,20/03/2019 05:12,,,,Arrival,,,3.0,fleetmon,1d 4h,J7DQ6,,Flag of Dominica,,7616262.0,50x10m,325851000.0,AN HUI,Salvage ship
2523,5cb2544acf504e43d090050d,,,20/03/2019 05:12,,,,Arrival,,,3.0,fleetmon,14h,A8UL6,,Flag of Liberia,,9445588.0,262x32m,636018904.0,NAVIOS MIAMI,Container ship
2524,5cb2544acf504e43d090050e,,,20/03/2019 20:06,,,,Departure,,,3.0,fleetmon,14h,A8UL6,,Flag of Liberia,,9445588.0,262x32m,636018904.0,NAVIOS MIAMI,Container ship
2525,5cb2544acf504e43d090050f,,,20/03/2019 05:12,,,,Arrival,,,3.0,fleetmon,20h,3FIR8,,Flag of Panama,,9174244.0,100x19m,353996000.0,PACIFIC 68,Cargo ship
2526,5cb2544acf504e43d0900510,,,20/03/2019 05:11,,,,Arrival,,,3.0,fleetmon,0h,,,Flag of Northern Marianas,,,14x4m,536040758.0,SC 4390 J,Port Tender
2527,5cb2544acf504e43d0900511,,,20/03/2019 05:11,,,,Arrival,,,3.0,fleetmon,1h,9WNM1,,Flag of Malaysia,,9696187.0,88x22m,533130779.0,MMA PINNACLE,Anchor handling supply tug
2528,5cb2544acf504e43d0900512,,,20/03/2019 06:37,,,,Departure,,,3.0,fleetmon,1h,9WNM1,,Flag of Malaysia,,9696187.0,88x22m,533130779.0,MMA PINNACLE,Anchor handling supply tug
2529,5cb2544acf504e43d0900513,,,20/03/2019 05:10,,,,Arrival,,,3.0,fleetmon,13h,9V8626,,Flag of Singapore,,,28x8m,563015430.0,GC 7,Pollution and surface clearance vessel
2530,5cb2544acf504e43d0900514,,,20/03/2019 18:48,,,,Departure,,,3.0,fleetmon,13h,9V8626,,Flag of Singapore,,,28x8m,563015430.0,GC 7,Pollution and surface clearance vessel
2531,5cb2544acf504e43d0900515,,,20/03/2019 05:10,,,,Arrival,,,3.0,fleetmon,0h,VRDP4,,Flag of Hong Kong SAR of China,,9329552.0,260x32m,477036600.0,OOCL TEXAS,Container ship
2532,5cb2544acf504e43d0900516,,,20/03/2019 05:10,,,,Arrival,,,3.0,fleetmon,12h,V7ST6,,Flag of Marshall Islands,,9520273.0,105x16m,538003718.0,ALICE,Oil Products Tanker
2533,5cb2544acf504e43d0900517,,,20/03/2019 18:04,,,,Departure,,,3.0,fleetmon,12h,V7ST6,,Flag of Marshall Islands,,9520273.0,105x16m,538003718.0,ALICE,Oil Products Tanker
2534,5cb2544acf504e43d0900518,,,20/03/2019 05:10,,,,Arrival,,,3.0,fleetmon,7h,9V3290,,Flag of Singapore,,9768849.0,69x16m,566114000.0,MP PRESTIGE,Anchor handling supply tug
2535,5cb2544acf504e43d0900519,,,20/03/2019 12:22,,,,Departure,,,3.0,fleetmon,7h,9V3290,,Flag of Singapore,,9768849.0,69x16m,566114000.0,MP PRESTIGE,Anchor handling supply tug
2536,5cb2544acf504e43d090051a,,,20/03/2019 05:09,,,,Arrival,,,3.0,fleetmon,14h,HORJ,,Flag of Panama,,9266229.0,130x20m,356284000.0,M T LAUREN,Oil Products Tanker
2537,5cb2544acf504e43d090051b,,,20/03/2019 19:25,,,,Departure,,,3.0,fleetmon,14h,HORJ,,Flag of Panama,,9266229.0,130x20m,356284000.0,M T LAUREN,Oil Products Tanker
2538,5cb2544acf504e43d090051c,,,20/03/2019 05:08,,,,Arrival,,,3.0,fleetmon,3d 1h,SR2956D,,Flag of Singapore,,,15x6m,563002956.0,EH IMMI COMMANDER,Rescue vessel
2539,5cb2544acf504e43d090051d,,,20/03/2019 05:08,,,,Arrival,,,3.0,fleetmon,20h,9V7321,,Flag of Singapore,,,18x5m,563022470.0,GC 6,Port Tender
2540,5cb2544acf504e43d090051e,,,20/03/2019 05:07,,,,Arrival,,,3.0,fleetmon,1d 19h,SC4855D,,Flag of Singapore,,,15x6m,563004855.0,CKL XIV,Passenger ship
2541,5cb2544acf504e43d090051f,,,20/03/2019 05:06,,,,Arrival,,,3.0,fleetmon,0h,9VJC4,,Flag of Singapore,,9368027.0,90x18m,565124000.0,SPRING,Oil tanker
2542,5cb2544acf504e43d0900520,,,20/03/2019 05:02,,,,Arrival,,,3.0,fleetmon,20h,9V5844,,Flag of Singapore,,,18x5m,563022460.0,GC 3,Pollution and surface clearance vessel
2543,5cb2544acf504e43d0900521,,,20/03/2019 04:57,,,,Arrival,,,3.0,fleetmon,3d 12h,YCPV2,,Flag of Indonesia,,9799240.0,36x12m,525121001.0,ASD MERRILL,Pusher/Tug
2544,5cb2544acf504e43d0900522,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,13h,9V9783,,Flag of Singapore,,9666338.0,89x16m,566754000.0,HAI SOON 16,Oil tanker
2545,5cb2544acf504e43d0900523,,,20/03/2019 18:08,,,,Departure,,,3.0,fleetmon,13h,9V9783,,Flag of Singapore,,9666338.0,89x16m,566754000.0,HAI SOON 16,Oil tanker
2546,5cb2544acf504e43d0900524,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,< 1h,9V5650,,Flag of Singapore,,9836804.0,45x11m,563065560.0,LUKOIL MARINE II,Tanker
2547,5cb2544acf504e43d0900525,,,20/03/2019 05:15,,,,Departure,,,3.0,fleetmon,< 1h,9V5650,,Flag of Singapore,,9836804.0,45x11m,563065560.0,LUKOIL MARINE II,Tanker
2548,5cb2544acf504e43d0900526,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,< 1h,9V8832,,Flag of Singapore,,9608063.0,89x16m,566209000.0,HAI SOON 3,Oil tanker
2549,5cb2544acf504e43d0900527,,,20/03/2019 05:15,,,,Departure,,,3.0,fleetmon,< 1h,9V8832,,Flag of Singapore,,9608063.0,89x16m,566209000.0,HAI SOON 3,Oil tanker
2550,5cb2544acf504e43d0900528,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,0h,9V2148,,Flag of Singapore,,9537238.0,63x13m,563848000.0,SENTEK 28,Oil tanker
2551,5cb2544acf504e43d0900529,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,3h,9V6574,,Flag of Singapore,,9316725.0,25x5m,563006410.0,NOBLE KNIGHT,Pusher/Tug
2552,5cb2544acf504e43d090052a,,,20/03/2019 08:22,,,,Departure,,,3.0,fleetmon,3h,9V6574,,Flag of Singapore,,9316725.0,25x5m,563006410.0,NOBLE KNIGHT,Pusher/Tug
2553,5cb2544acf504e43d090052b,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,3h,9V7431,,Flag of Singapore,,9504712.0,26x12m,566052000.0,ASL MERCURY,Special Purpose
2554,5cb2544acf504e43d090052c,,,20/03/2019 07:49,,,,Departure,,,3.0,fleetmon,3h,9V7431,,Flag of Singapore,,9504712.0,26x12m,566052000.0,ASL MERCURY,Special Purpose
2555,5cb2544acf504e43d090052d,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,7h,9V2147,,Flag of Singapore,,9537226.0,63x13m,563562000.0,SENTEK 27,Tanker
2556,5cb2544acf504e43d090052e,,,20/03/2019 11:55,,,,Departure,,,3.0,fleetmon,7h,9V2147,,Flag of Singapore,,9537226.0,63x13m,563562000.0,SENTEK 27,Tanker
2557,5cb2544acf504e43d090052f,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,6h,9V3566,,Flag of Singapore,,9315678.0,26x10m,563034180.0,NOBLE SCOUT,Pusher/Tug
2558,5cb2544acf504e43d0900530,,,20/03/2019 11:23,,,,Departure,,,3.0,fleetmon,6h,9V3566,,Flag of Singapore,,9315678.0,26x10m,563034180.0,NOBLE SCOUT,Pusher/Tug
2559,5cb2544acf504e43d0900531,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,19h,V3VB7,,Flag of Belize,,8119728.0,264x32m,312062000.0,V GORYO 6HO,Dredger
2560,5cb2544acf504e43d0900532,,,20/03/2019 04:46,,,,Arrival,,,3.0,fleetmon,1h,9VPQ4,,Flag of Singapore,,9525819.0,110x17m,564968000.0,ORACLE,Oil tanker
2561,5cb2544acf504e43d0900533,,,20/03/2019 06:17,,,,Departure,,,3.0,fleetmon,1h,9VPQ4,,Flag of Singapore,,9525819.0,110x17m,564968000.0,ORACLE,Oil tanker
