_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
5cb2544acf504e43d0901c6a,163,AIS,20/03/2019 10:59,SINGAPORE PWBGA,417,Singapore,Departure,,,1,vesseltracker,,,47409,,289131,9380051,182,355733000,RICH BREEZE,oil_and_chemical_tanker>oil_products_tanker
5cb2544acf504e43d0901c6b,191,AIS,20/03/2019 10:59,,,,Departure,,,1,vesseltracker,,,,,1539374,,22,563023730,DM 77,passenger_ship
5cb2544acf504e43d0901c6c,191,AIS,20/03/2019 10:58,,,,Departure,,,1,vesseltracker,,,,,1870286,,0,563040065,KENKI 27,
5cb2544acf504e43d0901c6d,191,AIS,20/03/2019 10:58,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1887572,,10,563040578,YORK 91,
5cb2544acf504e43d0901c6e,101,AIS,20/03/2019 10:58,,,,Arrival,417,Singapore,1,vesseltracker,,,,,926896,,21,525016710,DIJAYA-10,general_cargo_ship
5cb2544acf504e43d0901c6f,191,AIS,20/03/2019 10:57,,,,Departure,,,1,vesseltracker,,,,,2187702,,13,563066780,KENKI 35,
5cb2544acf504e43d0901c70,191,AIS,20/03/2019 10:57,,,,Departure,,,1,vesseltracker,,,,,2089454,,0,563021140,SEASWIFT PROVIDENCE,
5cb2544acf504e43d0901c71,191,AIS,20/03/2019 10:57,,,,Arrival,417,Singapore,1,vesseltracker,,,107,,280658,9343297,27,563920000,STAR VOYAGER,tug
5cb2544acf504e43d0901c72,191,AIS,20/03/2019 10:56,,,,Departure,,,1,vesseltracker,,,,,1956905,,10,563046240,MERLIMAU TRANSPORTER,
5cb2544acf504e43d0901c73,191,AIS,20/03/2019 10:56,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1806119,,27,563030060,GP61,
5cb2544acf504e43d0901c74,191,AIS,20/03/2019 10:55,,,,Departure,,,1,vesseltracker,,,,,2097382,,12,563064340,AQUARIUS EXPRESS 7,
5cb2544acf504e43d0901c75,52,AIS,20/03/2019 10:55,,,,Departure,417,Singapore,1,vesseltracker,,,,,2126709,,25,518100473,HACHI,
5cb2544acf504e43d0901c76,121,AIS,20/03/2019 10:55,SGSIN > MYPTP,417,Singapore,Arrival,870,Tanjung Pelepas,1,vesseltracker,,,38131,,51788,9326706,215,636091273,NAJADE,container_ship
5cb2544acf504e43d0901c77,191,AIS,20/03/2019 10:55,,,,Arrival,417,Singapore,1,vesseltracker,,,39,,2023419,9817638,39,563021500,MAJESTIC DREAM,passenger_ship
5cb2544acf504e43d0901c78,191,AIS,20/03/2019 10:54,,,,Departure,417,Singapore,1,vesseltracker,,,,,2041726,,0,563062910,GOLDEN GIANT,
5cb2544acf504e43d0901c79,191,AIS,20/03/2019 10:54,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1909062,,10,563041156,ENV 1,
5cb2544acf504e43d0901c7a,191,AIS,20/03/2019 10:54,BATAM,886,Batam,Arrival,886,Batam,1,vesseltracker,,,25,,310840,9106120,30,566357000,BATAMFAST18,passenger_ship
5cb2544acf504e43d0901c7b,191,AIS,20/03/2019 10:54,,,,Departure,,,1,vesseltracker,,,,,395434,,28,563016940,SEA EAGLE,pleasure_craft>sailing_vessel
5cb2544acf504e43d0901c7c,191,AIS,20/03/2019 10:53,,,,Departure,,,1,vesseltracker,,,,,1924309,,32,563037790,VENUS 7,
5cb2544acf504e43d0901c7d,191,AIS,20/03/2019 10:53,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,2310,,1871573,9763552,69,563035520,STL H7,service_ship>hopper_barge
5cb2544acf504e43d0901c7e,191,AIS,20/03/2019 10:52,,,,Arrival,417,Singapore,1,vesseltracker,,,623,,1792830,9710921,45,565243000,AYER CHOMEL,other_tanker>water_tanker
5cb2544acf504e43d0901c7f,191,AIS,20/03/2019 10:52,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1973179,,10,563041488,ST0727D,
5cb2544acf504e43d0901c80,191,AIS,20/03/2019 10:51,,,,Arrival,417,Singapore,1,vesseltracker,,,803,,1644535,9692521,45,563022710,STAR 1,service_ship
5cb2544acf504e43d0901c81,191,AIS,20/03/2019 10:51,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,,,1970913,,0,563036660,GP-05,
5cb2544acf504e43d0901c82,191,AIS,20/03/2019 10:50,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2187702,,13,563066780,KENKI 35,
5cb2544acf504e43d0901c83,191,AIS,20/03/2019 10:50,,,,Arrival,417,Singapore,1,vesseltracker,,,525,,302009,8955392,12,563001280,AYER MOLEK,other_tanker>water_tanker
5cb2544acf504e43d0901c84,191,AIS,20/03/2019 10:48,,,,Departure,,,1,vesseltracker,,,,,779171,,12,563020630,SP1389H,service_ship>pilot_vessel
5cb2544acf504e43d0901c85,191,AIS,20/03/2019 10:47,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1898744,,10,563040676,ENG HUP EXPRESS31,
5cb2544acf504e43d0901c86,191,AIS,20/03/2019 10:47,,,,Departure,417,Singapore,1,vesseltracker,,,,,1942320,,33,563037870,OPL EXPRESS 1,
5cb2544acf504e43d0901c87,191,AIS,20/03/2019 10:46,,,,Departure,,,1,vesseltracker,,,,,2193668,,0,563066740,KSE SPEEDER,
5cb2544acf504e43d0901c88,191,AIS,20/03/2019 10:45,,,,Departure,,,1,vesseltracker,,,,,1872305,,0,563027650,KENKI 6,
5cb2544acf504e43d0901c89,191,AIS,20/03/2019 10:44,,,,Departure,417,Singapore,1,vesseltracker,,,,,1881506,,10,563014870,KANLIAN ARK,
5cb2544acf504e43d0901c8a,191,AIS,20/03/2019 10:44,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1924309,,32,563037790,VENUS 7,
5cb2544acf504e43d0901c8b,133,AIS,20/03/2019 10:44,SUEZ CANAL,887,Suez,Arrival,821,Yantian,1,vesseltracker,,,197059,,2023584,9769283,400,538007378,MOL TRUST,container_ship
5cb2544acf504e43d0901c8c,191,AIS,20/03/2019 10:43,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1873084,,10,563040110,YORK ACE,
5cb2544acf504e43d0901c8d,121,AIS,20/03/2019 10:42,CNQZJ,944,Quanzhou,Arrival,3394,Ko Sichang,1,vesseltracker,,,74040,,1919498,9761944,228,636017480,SUNRAY,oil_and_chemical_tanker>crude_oil_tanker
5cb2544acf504e43d0901c8e,191,AIS,20/03/2019 10:42,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1796870,,7,563029960,GP59,
5cb2544acf504e43d0901c8f,191,AIS,20/03/2019 10:42,SEKUPANG,,,Departure,,,1,vesseltracker,,,,,282216,9140839,32,563780000,SINDO 12,passenger_ship
5cb2544acf504e43d0901c90,191,AIS,20/03/2019 10:42,,,,Departure,417,Singapore,1,vesseltracker,,,,,2074110,,0,563063890,SSE FRANCIS,
5cb2544acf504e43d0901c91,191,AIS,20/03/2019 10:42,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1971403,,10,563040543,KANLIAN 37,
5cb2544acf504e43d0901c92,191,AIS,20/03/2019 10:41,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,,,407632,,13,563013880,PILOT GP47,passenger_ship
5cb2544acf504e43d0901c93,191,AIS,20/03/2019 10:41,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1970913,,0,563036660,GP-05,
5cb2544acf504e43d0901c94,97,AIS,20/03/2019 10:41,KLANG,1011,Port Klang,Departure,724,Yingkou,1,vesseltracker,,,56968,,249435,9446934,190,477114900,JIN SUI,bulk_carrier
5cb2544acf504e43d0901c95,191,AIS,20/03/2019 10:41,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2198365,,12,563066790,KENKI 36,
5cb2544acf504e43d0901c96,191,AIS,20/03/2019 10:41,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2191974,9830472,33,563060200,PSA THOR,tug
5cb2544acf504e43d0901c97,191,AIS,20/03/2019 10:40,,,,Departure,,,1,vesseltracker,,,,,2119240,,15,563004844,HLBS 18,
5cb2544acf504e43d0901c98,191,AIS,20/03/2019 10:40,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1782171,,22,563027860,KIM HENG 1302,
5cb2544acf504e43d0901c99,191,AIS,20/03/2019 10:40,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1881186,,10,563040390,KANLIAN 3,
5cb2544acf504e43d0901c9a,191,AIS,20/03/2019 10:39,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2184353,9832169,32,563055600,MAJU LOYALTY,tug
5cb2544acf504e43d0901c9b,191,AIS,20/03/2019 10:39,,,,Arrival,417,Singapore,1,vesseltracker,,,,,386297,,29,563003860,SCDF FIRE FIGHTER II,service_ship>patrol_vessel
5cb2544acf504e43d0901c9c,191,AIS,20/03/2019 10:39,ARP,,,Departure,417,Singapore,1,vesseltracker,,,3876,,214537,9397767,75,566091000,ZEMIRA,oil_and_chemical_tanker>oil_products_tanker
5cb2544acf504e43d0901c9d,141,AIS,20/03/2019 10:38,,,,Departure,,,1,vesseltracker,,,,,2163536,,14,457608000,NAUTICAL CORAL,
5cb2544acf504e43d0901c9e,191,AIS,20/03/2019 10:38,,,,Arrival,417,Singapore,1,vesseltracker,,,50,,280726,9060651,33,563751000,OCEAN RAIDER,passenger_ship
5cb2544acf504e43d0901c9f,191,AIS,20/03/2019 10:37,,,,Departure,,,1,vesseltracker,,,,,2187702,,13,563066780,KENKI 35,
5cb2544acf504e43d0901ca0,191,AIS,20/03/2019 10:37,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2200967,,0,563066990,SEA FALCON 11,
