Cluster ID,confidence_score,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
438,0.423723698,5cb2544acf504e43d09018d3,191,AIS,20/03/2019 22:05,SGP HARBOUR TUG,417,Singapore,Departure,,,1,vesseltracker,,,,,280639,9382592,27,565766000,STAR OPAL,tug
439,0.423723698,5cb2544acf504e43d09018ce,191,AIS,20/03/2019 22:07,,,,Arrival,417,Singapore,1,vesseltracker,,,,,410822,,28,563016950,SEA HAWK,passenger_ship
439,0.423723698,5cb2544acf504e43d0900cc7,,,20/03/2019 22:02,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,SEA HAWK,
440,0.423723698,5cb2544acf504e43d09018f2,191,AIS,20/03/2019 21:44,,,,Departure,,,1,vesseltracker,,,,,1966072,,10,563047070,SEA FALCON,
440,0.423723698,5cb2544acf504e43d0900cdd,,,20/03/2019 21:45,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA FALCON,
441,0.423723698,5cb2544acf504e43d09018cc,191,AIS,20/03/2019 22:07,<6,,,Departure,,,1,vesseltracker,,,98,,762115,9382530,27,565438000,STAR DISCOVERY,tug
441,0.423723698,5cb2544acf504e43d0900cc0,,,20/03/2019 22:05,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,STAR DISCOVERY,
442,0.423723698,5cb2544acf504e43d0900cc3,,,20/03/2019 22:04,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,PENGUIN TEKONG,
442,0.423723698,5cb2544acf504e43d09018d8,191,AIS,20/03/2019 22:02,CHANGI FERRY,,,Departure,,,1,vesseltracker,,,350,,296060,9204025,32,564759000,PENGUIN TEKONG,passenger_ship
443,0.723818183,5cb2544acf504e43d0900d4f,,,20/03/2019 20:08,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,MARINA SPIRE,
443,0.723818183,5cb2544acf504e43d0901954,191,AIS,20/03/2019 20:08,,,,Departure,417,Singapore,1,vesseltracker,,,,,757688,,20,563005590,MARINA SPIRE,other
444,0.423723698,5cb2544acf504e43d0900d4e,,,20/03/2019 20:08,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SINAR SOLO,
444,0.423723698,5cb2544acf504e43d0901951,191,AIS,20/03/2019 20:09,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,15218,,281568,9202792,147,565953000,SINAR SOLO,container_ship
445,0.423723698,5cb2544acf504e43d0900d4a,,,20/03/2019 20:11,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,RELIANT,
445,0.423723698,5cb2544acf504e43d090194e,191,AIS,20/03/2019 20:13,L0C,,,Departure,,,1,vesseltracker,,,200,,1801892,9727338,31,565951000,RELIANT,tug
446,0.423723698,5cb2544acf504e43d0900eec,,,20/03/2019 14:34,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP-05,
446,0.423723698,5cb2544acf504e43d0901ad9,191,AIS,20/03/2019 14:36,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1970913,,0,563036660,GP-05,
447,0.423723698,5cb2544acf504e43d0901882,191,AIS,20/03/2019 22:47,BUKOM,417,Singapore,Departure,,,1,vesseltracker,,,21,,283357,9553189,26,563474000,PENGUIN 32,passenger_ship
447,0.423723698,5cb2544acf504e43d0900c6c,,,20/03/2019 22:48,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,PENGUIN 32,
448,0.723818183,5cb2544acf504e43d0900c6a,,,20/03/2019 22:49,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP-49,
448,0.723818183,5cb2544acf504e43d0901881,191,AIS,20/03/2019 22:49,,,,Arrival,417,Singapore,1,vesseltracker,,,,,321864,,13,565602000,GP-49,passenger_ship
449,0.423723698,5cb2544acf504e43d0901f45,191,AIS,20/03/2019 06:29,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2131001,,0,563039190,BIIT,
449,0.423723698,5cb2544acf504e43d09013dc,,,20/03/2019 06:25,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,BIIT,
450,0.423723698,5cb2544acf504e43d0901f43,191,AIS,20/03/2019 06:29,,,,Arrival,417,Singapore,1,vesseltracker,,,,,410337,,13,563013890,GP 48,passenger_ship
450,0.423723698,5cb2544acf504e43d09013db,,,20/03/2019 06:25,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP 48,
451,0.423723698,5cb2544acf504e43d0901d04,191,AIS,20/03/2019 10:04,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1076862,,15,563021450,GP56,service_ship>pilot_vessel
451,0.423723698,5cb2544acf504e43d090114c,,,20/03/2019 10:05,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,GP56,
452,0.423723698,5cb2544acf504e43d090114e,,,20/03/2019 10:03,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,KENKI 20,
452,0.423723698,5cb2544acf504e43d0901cf5,191,AIS,20/03/2019 10:08,,,,Departure,,,1,vesseltracker,,,,,1870278,,0,563040038,KENKI 20,
453,0.423723698,5cb2544acf504e43d09013df,,,20/03/2019 06:22,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,CKL XIII,
453,0.423723698,5cb2544acf504e43d0901f56,191,AIS,20/03/2019 06:21,,,,Departure,,,1,vesseltracker,,,,,1923962,,15,563004794,CKL XIII,
454,0.423723698,5cb2544acf504e43d0901cf2,191,AIS,20/03/2019 10:09,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,107,,280658,9343297,27,563920000,STAR VOYAGER,tug
454,0.423723698,5cb2544acf504e43d090114f,,,20/03/2019 10:03,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,STAR VOYAGER,
455,0.321811736,5cb2544acf504e43d0900d0c,,,20/03/2019 21:10,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,GP56,
455,0.219899774,5cb2544acf504e43d08ffcb0,,,20/03/2019 21:14,,,,Arrival,,,3,fleetmon,1h,SP1395B,,Flag of Singapore,,,15x5m,563021450,GP56,Pilot tender
455,0.321811736,5cb2544acf504e43d0901918,191,AIS,20/03/2019 21:12,,,,Departure,,,1,vesseltracker,,,,,1076862,,15,563021450,GP56,service_ship>pilot_vessel
456,0.423723698,5cb2544acf504e43d0900db8,,,20/03/2019 18:30,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,WINTER OAK,
456,0.423723698,5cb2544acf504e43d08ffe96,,,20/03/2019 18:39,,,,Departure,,,3,fleetmon,2h,V7PO9,,Flag of Marshall Islands,,9438171,129x20m,538005561,WINTER OAK,Oil Products Tanker
457,0.423723698,5cb2544acf504e43d0900cd2,,,20/03/2019 21:54,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA OSPREY,
457,0.423723698,5cb2544acf504e43d09018e4,191,AIS,20/03/2019 21:55,,,,Departure,,,1,vesseltracker,,,,,1967304,,10,563047080,SEA OSPREY,
458,0.423723698,5cb2544acf504e43d090141a,,,20/03/2019 05:56,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,MS EAGLE,
458,0.423723698,5cb2544acf504e43d0901f9f,133,AIS,20/03/2019 05:58,JAKARTA,853,Jakarta,Departure,1011,Port Klang,1,vesseltracker,,,39200,,68585,9314997,222,538004612,MS EAGLE,container_ship
459,0.723818183,5cb2544acf504e43d09018db,163,AIS,20/03/2019 22:01,>>VN_SGN<<,465,Ho Chi Minh,Arrival,853,Jakarta,1,vesseltracker,,,52184,,369921,9463281,267,371111000,BALTIMORE BRIDGE,container_ship
